" RANKING OF TOP 1,000 GLOBAL COMPANIES BY R&D INVESTMENT WITHIN INDUSTRY"
,,,,,,,,,"2009 R&D investment",,,,,,"Operating profit",,,,"Sales and employees",,,,,,"R&D and employees",,,,,,Sales,,
,,,,,,,,,,Growth,,÷ operating,,R&D + capex,,Growth,,,Sales,,,Sales ÷ employees,,,Employees,,,R&D ÷ employees ,,,outside,Market cap,,R&D spend,,
"Zeltia, Spain",Spain,,,,34,4577,Pharmaceuticals,Listed,48.10,-7,6,,43.9,47.5,-26,,,-24.1,110,17,46,159.8,13,35,686,4,8,70.1,-10,-2,0,580,-3,51.61,45.93,44.16,40.59
"Isis Pharmaceuticals, USA",USA,,,*,34,4573,Biotechnology,Listed,48.01,26,21,,63.8,74.8,-17,,,-22.7,75,2,91,301.2,22,122,250,-17,-12,192.0,51,37,,515,,38.05,46.45,41.47,32.51
"Affymetrix, USA",USA,,,*,34,4573,Biotechnology,Listed,47.90,-9,-5,,23.7,26.8,-21,,,-10.1,203,-20,-13,204.8,-9,-1,989,-12,-12,48.4,4,8,42,183,-56,52.50,47.83,53.44,48.24
"Warner Chilcott, Ireland",Ireland,,,*,34,4577,Pharmaceuticals,Listed,47.52,54,62,26.4,5.3,8.4,180,165,175,20.2,889,53,85,329.3,-37,-34,2700,142,151,17.6,-37,-29,,4414,71,30.93,33.75,16.61,36.31
"Basilea Pharmaceutica, Switzerland",Switzerland,,,*,34,4573,Biotechnology,Listed,45.74,-20,-17,,287.8,290.1,-73,,,-456.8,16,125,84,,,,,,,,,,,352,-27,57.36,69.31,49.60,43.37
"Array BioPharma, USA",USA,,,*,34,4573,Biotechnology,Listed,44.79,5,201,,289.5,301.3,-74,,,-481.1,15,-13,-36,43.6,-6,-46,355,-8,14,126.2,14,206,,96,-24,42.62,16.94,0.00,0.00
"Lexicon Pharmaceuticals, USA",USA,,,*,34,4573,Biotechnology,Listed,44.53,-12,44,,672.0,675.4,-57,,,-864.5,7,-67,-81,19.2,-67,-70,345,-1,-38,129.1,-11,92,,303,157,50.40,34.83,23.73,14.90
"Medicis Pharmaceutical, USA",USA,,,*,34,4577,Pharmaceuticals,Listed,44.44,-28,-22,54.3,12.5,13.5,82,415,523,23.1,354,10,34,578.7,4,-2,612,6,36,72.6,-32,-45,,991,54,61.87,24.42,100.22,40.67
"Sun Pharmaceutical Industries, India",India,,,*,34,4577,Pharmaceuticals,Listed,44.18,16,46,18.4,7.8,17.7,240,22,133,42.2,569,27,105,71.1,27,54,8000,0,18,5.5,16,9,,4800,47,38.04,37.08,26.80,19.16
"Talecris Biotherapeutics, USA",USA,,,*,34,4573,Biotechnology,Listed,44.10,8,,20.7,4.6,9.5,213,74,,22.5,949,12,,189.9,,,5000,,,8.8,,,,1697,,40.87,37.98,,
"Vivus, USA",USA,,,*,34,4573,Biotechnology,Listed,44.01,-8,112,,142.0,142.9,-34,,,-109.3,31,-51,6,245.9,-49,2,126,-3,7,349.3,-5,105,,268,-13,47.68,16.52,8.25,10.53
"Enzon Pharmaceuticals, USA",USA,,,*,34,4573,Biotechnology,Listed,43.49,21,68,1262.7,38.0,39.8,3,14,-2,3.0,114,-6,20,360.6,4,34,317,-10,-9,137.2,34,89,,388,79,35.97,34.99,26.95,5.77
35 Real estate investment & services (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No companies with sufficient R&D for inclusion,,,,,,,,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36 Real estate investment trusts (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No companies with sufficient R&D for inclusion,,,,,,,,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37 Software & computer services (74),,,,,,,,,24472.71,-0.4,14.2,51.8,10.3,13.6,47278,24.8,25.7,19.9,237039,-2.0,9.5,175.0,-2.3,-1.0,1348353,0.3,10.9,18.0,-0.8,3.9,,627385,6.1,24573.48,22494.58,19523.12,17109.73
"Microsoft, USA",USA,,,*,37,9537,Software,FT Global 500,5396.00,-3,13,36.1,13.9,17.1,14931,19,24,38.6,38692,7,17,434.7,12,10,89000,-4,7,60.6,1,6,42,130749,0,5579.29,5055.42,4409.56,4077.03
"IBM, USA",USA,,,*,37,9533,Computer services,FT Global 500,3061.49,-10,-6,27.1,5.2,8.8,11299,5,30,19.1,59297,-8,-1,148.5,-8,-9,399409,0,9,7.7,-10,-14,64,99870,4,3399.59,3278.84,3278.22,3116.60
"Oracle, USA",USA,,,*,37,9537,Software,FT Global 500,2014.99,18,36,36.1,12.1,13.0,5587,10,35,33.6,16608,15,37,158.2,-6,-1,105000,22,40,19.2,-4,-3,,70528,4,1713.42,1697.32,1359.22,1159.21
"Google, USA",USA,,,*,37,9535,Internet,FT Global 500,1760.50,2,69,34.2,12.0,15.4,5149,50,104,35.2,14645,9,72,738.4,11,15,19835,-2,49,88.8,4,18,53,95983,6,1729.64,1312.77,760.78,371.24
"Fujitsu, Japan",Japan,,,*,37,9533,Computer services,Listed,1662.30,-3,1,,5.3,9.1,-710,-189,-161,-2.3,31217,-12,-6,188.5,-11,-10,165612,-1,4,10.0,-2,-3,,8622,2,1720.94,1690.19,1606.85,1597.91
"SAP, Germany",Germany,,,,37,9537,Software,FT Global 500,1370.95,-5,13,60.7,14.5,16.4,2257,-4,-1,23.8,9482,-8,7,195.6,-2,-8,48471,-6,16,28.3,1,-3,47,33761,-5,1445.58,1298.09,1153.37,967.24
"Yahoo!, USA",USA,,,*,37,9535,Internet,FT Global 500,805.11,-5,30,339.0,20.1,26.8,238,,-62,5.9,4000,-10,0,287.8,-12,-12,13900,2,13,57.9,-7,17,,11547,-12,848.84,740.13,527.68,363.82
"Symantec, USA",USA,,,*,37,9537,Software,Listed,530.68,-3,3,86.7,14.3,18.5,612,,,16.5,3706,-3,12,213.0,-3,10,17400,0,2,30.5,-3,1,50,6031,-22,544.74,554.36,536.80,422.40
"CA, USA",USA,,,*,37,9537,Software,Listed,411.17,7,5,53.0,15.3,17.1,776,12,116,28.8,2696,2,7,195.3,-3,10,13800,5,-4,29.8,2,9,,5854,-20,384.54,388.88,389.50,398.17
"Intuit, USA",USA,,,*,37,9537,Software,Listed,382.58,-5,27,90.6,19.4,23.5,422,5,13,21.4,1971,4,25,252.7,9,24,7800,-5,1,49.0,0,27,,7500,23,402.51,322.53,270.32,208.43
"Adobe Systems, USA",USA,,,*,37,9537,Software,Listed,349.95,-15,4,83.8,19.2,23.2,418,-36,-15,22.9,1824,-18,4,210.6,-30,-20,8660,18,33,40.4,-28,-21,,9110,-13,409.97,379.74,334.19,226.22
"UBIsoft Entertainment, France",France,,,,37,9537,Software,Listed,296.87,13,40,,38.4,39.8,-111,-268,-318,-14.4,774,-18,8,126.0,-32,-28,6144,21,52,48.3,-6,-7,,524,-48,262.13,270.46,200.81,116.09
"Autodesk, USA",USA,,,*,37,9537,Software,Listed,283.30,-21,3,656.4,26.7,29.0,43,-72,-80,4.1,1061,-26,-13,156.1,-15,-20,6800,-13,8,41.7,-9,-4,,3992,11,356.74,300.51,251.60,186.76
"Dassault Systemes, France",France,,,,37,9537,Software,Listed,268.77,-2,6,156.7,24.2,25.4,172,-12,-17,15.4,1112,-6,7,141.9,-6,-5,7834,-1,12,34.3,-2,-6,54,4476,74,275.10,259.44,249.70,230.09
"Synopsys, USA",USA,,,*,37,9537,Software,Listed,261.88,6,15,196.6,31.1,34.0,133,13,148,15.8,842,2,17,142.1,-2,3,5928,4,14,44.2,2,1,,2004,12,246.30,236.25,231.67,198.15
"Cadence Design Systems, USA",USA,,,*,37,9537,Software,Listed,226.15,-23,-23,,42.8,47.7,-81,,,-15.2,528,-18,-38,120.0,-9,-27,4400,-10,-14,51.4,-14,-11,38,1052,9,293.22,320.85,299.93,262.15
"WAM Acquisition, Spain",Spain,,,,37,9533,Computer services,Unlisted,222.64,10,,45.5,10.2,12.5,489,-11,,22.4,2187,-2,,282.1,-2,,7751,1,,28.7,10,,,,,201.77,198.23,,
"Prithvi Information Solutions, India",India,,,*,37,9533,Computer services,Listed,203.22,92,174,,77.3,77.5,<-0.5,-102,-102,-0.1,263,76,153,98.1,81,80,2680,-3,41,75.8,97,95,,13,-13,105.75,72.81,43.79,
"McAfee, USA",USA,,,*,37,9537,Software,Listed,200.86,29,55,144.4,16.8,20.0,139,23,39,11.7,1193,20,53,195.7,11,5,6100,9,45,32.9,18,5,43,2817,-32,156.06,134.95,119.79,109.20
"Citrix Systems, USA",USA,,,*,37,9537,Software,Listed,200.31,-2,53,184.3,20.0,24.8,109,2,-10,10.9,999,2,29,207.5,7,11,4816,-4,16,41.6,3,37,,6571,63,203.80,143.29,107.77,67.30
"SunGard Data Systems, USA",USA,,,*,37,9533,Computer services,Unlisted,196.92,-2,11,,5.8,11.7,-347,-249,-220,-10.2,3411,-2,18,164.8,-5,-1,20700,4,19,9.5,-5,-7,28,,,201.25,183.91,170.91,151.59
"Cerner, USA",USA,,,*,37,9537,Software,Listed,176.60,-2,-1,98.9,17.1,24.9,179,7,48,17.2,1035,0,17,136.2,-2,14,7600,1,3,23.2,-3,-4,,3886,22,180.43,175.30,190.67,169.36
"Sage, UK",UK,,,,37,9537,Software,Listed,174.60,25,63,62.9,12.1,13.5,278,4,16,19.3,1439,11,39,100.3,16,15,14352,-5,20,12.2,31,35,47,3148,13,139.70,111.40,94.90,81.60
"BMC Software, USA",USA,,,*,37,9537,Software,Listed,174.31,-3,2,55.6,14.7,15.9,313,38,91,26.5,1183,2,14,194.0,-3,11,6100,5,3,28.6,-7,-1,,3858,-3,179.14,174.13,163.60,166.76
"Mentor Graphics, USA",USA,,,*,37,9537,Software,Listed,158.24,-2,10,,31.8,37.6,-2,,-118,-0.3,497,2,4,113.0,4,1,4400,-2,3,36.0,0,7,,586,31,161.22,142.48,140.67,131.70
"Indra Sistemas, Spain",Spain,,,,37,9533,Computer services,Listed,155.50,5,39,61.1,7.0,8.0,254,7,46,11.4,2233,6,40,88.4,2,-18,25271,3,56,6.2,2,-19,,1647,-30,147.79,137.70,85.69,76.32
"Amdocs, UK",UK,,,*,37,9537,Software,Listed,130.28,-7,7,58.4,7.4,10.3,223,-11,0,12.6,1773,-9,9,102.8,-3,3,17244,-7,6,7.6,0,2,86,3330,8,139.63,142.70,115.65,89.45
"Invensys, UK",UK,,,,37,9537,Software,Listed,130.00,14,26,57.0,5.8,7.3,228,27,5,10.2,2243,-2,-11,110.2,7,16,20357,-8,-24,6.4,24,62,,1967,-6,114.00,100.00,89.00,110.00
"NDS, UK",UK,,,,37,9537,Software,Unlisted,125.81,2,19,430.3,25.0,26.8,29,-72,-65,5.8,504,-4,20,125.4,-10,-8,4018,6,30,31.3,-4,-10,,,,123.17,107.99,90.11,103.11
"Parametric Technology, USA",USA,,,*,37,9537,Software,Listed,116.73,4,24,1192.2,20.1,23.3,10,-86,-82,1.7,581,-12,5,112.5,-14,-11,5165,2,17,22.6,2,6,63,1244,26,112.71,100.53,91.24,73.24
"Polaris Software Lab, India",India,,,*,37,9537,Software,Listed,115.79,-2,22,459.1,64.3,67.0,25,2,87,14.0,180,-2,25,18.9,-5,11,9512,3,12,12.2,-5,8,78,230,36,117.82,99.09,87.60,74.80
"Sybase, USA (now part of SAP, Germany)",USA,,,*,37,9537,Software,Unlisted,114.16,-7,-1,65.0,15.7,18.7,176,35,79,24.2,725,3,22,189.8,8,26,3819,-4,-3,29.9,-2,2,,,,122.38,116.89,115.80,107.08
"Novell, USA",USA,,,*,37,9537,Software,Listed,112.32,-8,-8,,21.0,23.6,-133,,-374,-24.8,534,-10,-17,148.3,-1,2,3600,-10,-19,31.2,2,12,,1230,26,122.70,129.03,111.70,124.24
"DST Systems, USA",USA,,,*,37,9533,Computer services,Listed,109.05,14,10,53.6,7.9,12.4,204,-10,-20,14.8,1373,-3,-5,122.6,-6,-9,11200,3,4,9.7,10,5,6,1191,-15,96.04,96.72,97.59,105.77
"Teradata, USA",USA,,,*,37,9533,Computer services,Listed,108.99,10,,52.7,10.3,12.0,207,-1,,19.5,1058,-3,,160.3,-6,,6600,3,,16.5,7,,,3087,7,99.08,105.89,,
"Mindtree, India",India,,,*,37,9537,Software,Listed,106.22,15,108,437.8,61.6,69.1,24,179,140,14.1,172,5,72,,,,,,,,,,85,277,19,92.72,62.87,27.48,21.41
"Misys, UK",UK,,,,37,9537,Software,Listed,103.90,4,14,83.7,13.3,14.5,124,164,140,15.9,782,13,1,127.6,0,-4,6130,13,7,16.9,-8,7,,1406,39,99.60,72.10,88.60,104.10
"Red Hat, USA",USA,,,*,37,9537,Software,Listed,97.01,12,69,141.5,20.9,24.7,69,34,51,14.8,463,15,61,144.8,0,-1,3200,14,62,30.3,-2,8,,3619,44,86.74,68.19,48.94,25.32
"Wincor Nixdorf, Germany",Germany,,,,37,9533,Computer services,Listed,91.74,-1,13,59.5,4.6,6.5,154,-10,13,7.7,1999,-3,10,211.6,-8,-9,9447,5,21,9.7,-6,-7,25,1229,15,92.87,85.80,77.69,69.31
"Salesforce.com, USA",USA,,,*,37,9537,Software,Listed,91.03,34,133,129.0,11.3,15.4,71,81,349,8.7,808,21,98,203.7,9,23,3969,11,66,22.9,20,50,,7750,115,67.95,46.36,27.63,14.45
"Quest Software, USA",USA,,,*,37,9537,Software,Listed,89.40,-6,22,172.6,20.8,22.4,52,6,21,12.0,431,-5,16,127.9,-2,7,3365,-3,8,26.6,-3,13,38,1080,24,95.03,75.91,68.50,54.42
"Tencent, China",China,,,,37,9535,Internet,FT Global 500,88.53,73,207,16.6,7.8,22.0,534,91,288,47.3,1128,74,227,150.2,43,75,7515,21,96,11.8,43,58,0,21090,23,51.04,28.24,23.32,12.88
"Autonomy, UK",UK,,,,37,9537,Software,Listed,76.48,38,110,45.4,16.7,19.7,168,48,224,36.8,458,47,148,272.0,9,37,1684,35,87,45.4,2,12,,3786,23,55.46,42.90,33.97,13.58
"GSI Commerce, USA",USA,,,*,37,9533,Computer services,Listed,74.42,16,97,1170.4,12.0,12.0,6,,,1.0,622,4,45,113.1,-16,-22,5500,23,68,13.5,-6,15,,910,74,64.39,40.81,28.10,17.61
"RealNetworks, USA",USA,,,*,37,9537,Software,Listed,73.97,5,31,,21.2,24.2,-151,,-352,-43.5,348,-7,19,188.7,0,3,1845,-7,14,40.1,14,11,,228,-1,70.39,63.61,47.92,43.80
"Nuance Communications, USA",USA,,,*,37,9537,Software,Listed,73.96,4,63,184.5,12.6,14.6,40,105,225,6.8,588,9,82,101.5,15,-11,5800,-5,81,12.8,9,-25,26,2764,26,71.20,49.55,36.78,24.27
"Software, Germany",Germany,,,,37,9537,Software,Listed,73.00,8,43,37.7,9.7,10.6,194,21,65,25.7,753,18,50,122.0,-32,-25,6170,73,100,11.8,-38,-28,,1951,41,67.73,58.55,39.86,38.38
"Open Text, Canada",Canada,,,*,37,9537,Software,Listed,71.93,10,50,120.1,14.8,16.3,60,-4,101,12.3,487,8,46,142.6,-7,6,3411,17,40,21.1,-6,8,50,1341,-3,65.57,48.96,36.65,40.34
"VeriSign, USA",USA,,,*,37,9537,Software,Listed,69.64,-9,-16,32.5,9.0,18.3,214,632,737,27.6,778,-19,-20,334.0,14,41,2328,-29,-45,29.9,29,49,,3076,23,76.46,117.72,80.09,59.04
"TIBCO Software, USA",USA,,,*,37,9537,Software,Listed,67.31,2,21,122.4,17.5,18.4,55,35,37,14.3,385,-4,14,183.5,-5,-4,2097,1,19,32.1,1,2,,1342,32,66.01,57.54,53.21,45.29
"Unisys, USA",USA,,,*,37,9533,Computer services,Listed,63.10,-21,-61,30.9,2.2,3.2,204,3971,,7.2,2847,-12,-18,111.2,-4,0,25600,-9,-18,2.5,-14,-50,,607,26,79.88,110.84,208.74,241.25
"Rovi, USA",USA,,,*,37,9537,Software,Listed,58.60,40,120,258.8,19.6,23.6,23,,,7.6,300,-13,50,249.7,-14,-5,1200,1,54,48.8,38,48,,2670,45,41.93,10.84,32.72,21.29
"Progress Software, USA",USA,,,*,37,9537,Software,Listed,57.75,6,21,182.4,18.9,20.4,32,-21,-10,10.3,306,-4,6,168.0,1,0,1821,-5,6,31.7,12,14,,745,32,54.36,49.75,47.85,39.06
"Lawson Software, USA",USA,,,*,37,9537,Software,Listed,55.90,10,15,163.4,12.3,14.8,34,25,197,7.5,456,-3,7,116.9,-8,5,3900,5,3,14.3,4,12,40,742,18,51.01,52.87,52.84,37.59
"Check Point Software Technologies, Israel",Israel,,,*,37,9537,Software,Listed,55.57,-2,25,21.7,9.7,10.2,256,20,34,44.8,572,14,37,271.0,2,10,2112,12,25,26.3,-13,1,87,4362,17,56.74,50.15,38.52,32.07
"Gameloft, France",France,,,,37,9537,Software,Listed,55.36,-12,28,1493.8,51.1,53.0,4,,,3.4,108,11,52,26.1,7,9,4153,3,40,13.3,-15,-8,61,204,11,62.78,48.31,36.61,25.32
"Infosys Technologies, India",India,,,*,37,9537,Software,FT Global 500,55.23,67,137,6.0,1.8,6.0,927,8,59,30.6,3026,5,47,32.7,19,29,92688,-12,16,0.6,89,108,89,21023,39,33.00,26.22,20.49,13.57
"Kpit Cummins Infosystems, India",India,,,*,37,9533,Computer services,Listed,54.43,-8,24,307.8,55.9,57.7,18,-6,79,18.2,97,-8,35,19.8,-14,-1,4918,7,36,11.1,-15,-9,,188,240,59.45,49.64,38.37,27.43
"Eclipsys, USA",USA,,,*,37,9537,Software,Listed,52.70,7,13,902.5,16.4,20.5,6,1,65,1.8,321,1,15,114.8,1,-3,2800,0,19,18.8,7,-6,1,716,17,49.30,48.11,44.63,44.54
"Blue Coat Systems, USA",USA,,,*,37,9537,Software,Listed,52.59,11,74,216.8,17.1,20.7,24,1463,704,7.9,307,12,86,243.6,27,42,1261,-12,35,41.7,26,30,56,475,3,47.48,31.94,24.70,16.59
"ANSYS, USA",USA,,,*,37,9537,Software,Listed,49.45,12,53,43.5,15.5,17.1,114,8,85,35.5,320,8,61,200.0,18,29,1600,-9,24,30.9,22,19,65,2303,14,44.33,35.04,31.14,19.00
"Nice-Systems, Israel",Israel,,,*,37,9537,Software,Listed,48.73,-1,44,206.6,13.5,15.0,24,2,28,6.5,361,-7,25,,,,,,,,,,,1066,7,49.37,37.55,28.55,19.63
"Informatica, USA",USA,,,*,37,9537,Software,Listed,48.52,8,31,86.5,15.6,16.3,56,6,88,18.1,310,10,39,176.7,1,4,1755,9,35,27.6,-1,-3,,1750,70,44.91,43.30,34.06,26.37
"ACI Worldwide, USA",USA,,,*,37,9537,Software,Listed,47.99,111,83,185.3,19.1,19.8,26,138,21,10.3,251,21,19,118.9,24,12,2114,-2,6,22.7,115,72,,411,39,22.74,32.26,25.25,24.58
"Akamai Technologies, USA",USA,,,*,37,9535,Internet,Listed,47.78,8,41,34.2,9.0,18.4,140,6,75,26.2,532,9,61,304.2,-7,10,1750,17,51,27.3,-8,-4,,4973,156,44.36,43.12,30.96,16.89
"NCsoft, South Korea",South Korea,,,*,37,9535,Internet,Listed,47.71,8,63,324.0,25.9,40.9,15,-42,-56,8.0,184,5,7,,,,,,,,,,,2323,72,44.32,32.03,24.20,16.87
"Sopra, France",France,,,,37,9533,Computer services,Listed,47.62,7,46,86.4,4.9,5.9,55,-38,-22,5.7,973,-3,16,77.2,-7,-4,12610,4,21,3.8,2,22,,520,50,44.51,34.47,27.63,23.72
"Tieto, Finland",Finland,,,,37,9533,Computer services,Listed,47.18,-8,-17,80.0,3.1,6.3,59,-39,-34,3.9,1516,-9,-4,91.5,-9,-12,16568,1,9,2.8,-9,-24,,768,-1,51.44,59.44,64.42,51.80
"United Online, USA",USA,,,*,37,9535,Internet,Listed,46.95,19,40,50.5,7.7,10.3,93,,231,15.2,613,48,78,360.9,73,17,1699,-14,41,27.6,39,-8,,268,-31,39.46,36.81,32.78,24.78
"Fair Isaac, USA",USA,,,*,37,9537,Software,Listed,45.78,-5,-6,60.9,11.7,13.9,75,-2,-21,19.2,391,-15,-21,187.2,1,3,2086,-16,-23,21.9,13,22,,593,-13,48.36,43.72,52.61,50.34
"Totvs, Brazil",Brazil,,,*,37,9537,Software,Listed,44.94,70,165,70.5,12.8,14.2,64,242,456,18.1,351,30,81,,,,,,,,,,,1344,,26.44,14.08,10.27,
"Digital River, USA",USA,,,*,37,9535,Internet,Listed,44.19,39,99,111.7,17.7,25.6,40,-11,-9,15.8,250,2,27,201.8,10,20,1239,-7,7,35.7,50,91,41,637,-22,31.70,24.26,20.09,12.74
"Infogrames Entertainment (now Atari), France",France,,,,37,9537,Software,Listed,43.71,0,-26,,16.6,16.9,-178,,,-67.8,263,2,-26,387.3,-17,-8,679,22,-20,64.4,-18,-11,42,61,14,43.80,45.76,71.70,76.14
"CSG Systems International, USA",USA,,,*,37,9537,Software,Listed,43.42,4,36,105.6,14.0,22.1,41,-26,-17,13.3,310,6,10,150.4,6,-6,2061,0,15,21.1,4,20,,375,6,41.66,36.13,28.60,21.01
38 Support services (11),,,,,,,,,1115.08,8.1,16.1,23.5,2.3,5.8,4743,-5.8,-2.6,10.0,47520,-4.2,-0.2,97.5,-4.0,7.1,486410,-0.3,5.6,2.2,6.9,1.7,,47684,11.6,1031.87,901.79,823.48,704.44
"Automatic Data Processing, USA",USA,,,*,38,2795,Financial administration,FT Global 500,309.43,-5,5,27.5,5.6,7.4,1123,5,7,20.5,5491,1,-1,122.0,6,1,45000,-4,-2,6.9,-1,6,,12393,4,325.66,301.01,292.46,264.17
"Accenture, Ireland",Ireland,,,*,38,2791,Business support services,FT Global 500,269.33,11,40,16.5,1.9,2.9,1635,-12,11,11.4,14348,-8,13,81.1,-4,-1,177000,-5,14,1.5,17,23,,17376,26,241.61,190.33,184.75,150.75
"Giesecke & Devrient, Germany",Germany,,,,38,2791,Business support services,Unlisted,95.02,-4,20,78.2,6.4,12.4,122,-22,8,8.1,1496,0,17,148.8,-5,-3,10055,6,20,9.5,-9,1,39,,,99.47,88.76,68.33,60.08
"NSK, Japan",Japan,,,*,38,2797,Industrial suppliers,Listed,71.12,4,7,72.9,1.7,9.5,98,-78,-71,2.3,4308,-16,-4,179.1,-13,-8,24050,-4,5,3.0,9,2,29,2149,-2,68.12,67.18,64.71,65.23
"Serco, UK",UK,,,,38,2791,Business support services,Listed,64.40,1,-2,30.1,1.6,2.9,214,44,73,5.4,3970,27,48,68.8,-6,4,57710,35,43,1.1,-25,-31,,2661,30,63.60,75.50,77.30,45.30
"Suez Environnement, France",France,,,,38,2799,Waste & disposal services,Listed,57.75,33,,7.9,0.5,6.8,729,-20,,6.7,10925,-1,,165.8,-1,,65895,1,,0.9,32,,,5312,-2,43.36,,,
"Core Projects & Technologies, India",India,,,*,38,2791,Business support services,Listed,53.00,49,,202.4,58.8,60.2,26,93,,29.0,90,52,,,,,,,,,,,,367,,35.60,16.87,,
"Fiserv, USA",USA,,,*,38,2795,Financial administration,Listed,50.16,9,34,8.6,2.0,6.8,586,7,20,23.2,2525,-16,-12,126.2,-16,-1,20000,0,-11,2.5,9,49,,4572,-1,45.82,35.30,37.59,30.96
"Akka Technologies, France",France,,,,38,2791,Business support services,Listed,49.95,115,201,337.7,16.9,16.9,15,-9,43,5.0,296,-13,48,57.8,-11,-9,5110,-2,64,9.8,119,98,,116,11,23.25,31.54,7.63,4.05
"Convergys, USA",USA,,,*,38,2791,Business support services,Listed,48.73,23,0,,2.8,5.4,-55,,-157,-3.1,1751,1,3,25.0,9,7,70000,-7,-4,0.7,32,4,,749,-9,39.57,54.56,52.57,47.62
"Nalco, USA",USA,,,*,38,2799,Waste & disposal services,Listed,46.20,1,15,18.4,2.0,4.7,251,,37,10.8,2320,-11,0,200.2,-10,-2,11590,-2,2,4.0,2,12,,1988,30,45.82,40.75,38.15,36.29
39 Technology hardware & equipment (152),,,,,,,,,59110.73,-6.3,3.5,227.7,8.7,12.9,25965,-9.9,-50.2,3.8,682635,-9.4,-2.5,195.0,-10.3,-12.8,3099819,-4.0,8.0,18.3,-5.2,-5.7,,887618,6.6,63062.38,59226.56,51790.21,45912.67
"Nokia, Finland",Finland,,,,39,9578,Telecommunications equipment,FT Global 500,4439.80,-6,11,439.5,12.2,13.6,1010,-77,-78,2.8,36414,-19,-7,295.6,-20,-38,123171,1,43,36.0,-7,-25,,20942,-33,4727.68,4692.14,3298.09,3224.35
"Intel, USA",USA,,,*,39,9576,Semiconductors,FT Global 500,3500.53,-1,1,103.1,16.1,28.9,3395,-22,-34,15.6,21752,-7,-6,272.6,-2,6,79800,-5,-12,43.9,4,14,80,66027,1,3543.25,3563.69,3636.76,3185.96
"Cisco Systems, USA",USA,,,*,39,9578,Telecommunications equipment,FT Global 500,3224.97,1,22,72.4,14.4,17.2,4455,-24,-12,19.9,22365,-9,13,341.2,-8,-7,65550,-1,21,49.2,2,0,46,75540,-1,3190.91,2785.93,2518.42,2057.09
"Hitachi, Japan",Japan,,,*,39,9572,Computer hardware,FT Global 500,2770.59,-3,2,,4.2,8.4,-1207,-164,-174,-1.8,66521,-11,0,166.2,-13,-7,400129,3,8,6.9,-5,-6,18,11494,60,2848.11,2744.10,2694.51,2585.12
"Alcatel-Lucent, France",France,,,,39,9578,Telecommunications equipment,Listed,2411.37,-14,5,,17.9,20.1,-785,,,-5.8,13467,-11,-3,171.8,-12,-8,78373,1,4,30.8,-15,0,66,3888,-20,2813.86,2992.45,1766.33,1592.18
"NEC, Japan",Japan,,,*,39,9572,Computer hardware,Listed,2305.05,-2,11,,8.2,10.8,-1772,-328,-369,-6.3,28041,-9,-12,195.6,-3,,143327,-6,,16.1,5,,,4110,-6,2342.77,2225.96,1912.00,1831.56
"Ericsson, Sweden",Sweden,,,,39,9578,Telecommunications equipment,FT Global 500,2133.88,-12,-2,491.3,11.9,13.9,434,-67,-82,2.4,17907,-1,14,207.4,-10,-11,86360,9,27,24.7,-20,-24,,21053,11,2427.11,2199.35,2189.64,1931.62
"Canon, Japan",Japan,,,*,39,9574,Electronic office equipment,FT Global 500,2026.14,-19,-9,136.5,9.5,19.7,1484,-52,-65,7.0,21347,-22,-22,126.4,-22,-40,168879,1,27,12.0,-19,-29,59,34409,17,2487.94,2449.60,2050.80,1905.58
"Motorola, USA",USA,,,*,39,9578,Telecommunications equipment,FT Global 500,1971.02,-23,-22,,14.4,15.7,-33,,-104,-0.2,13662,-27,-40,257.8,-12,-25,53000,-17,-20,37.2,-6,-3,46,11042,7,2544.43,2742.59,2542.57,2278.78
"Hewlett-Packard, USA",USA,,,*,39,9572,Computer hardware,FT Global 500,1745.62,-20,-21,27.8,2.5,5.7,6277,-3,39,8.8,70934,-3,14,233.3,2,-30,304000,-5,52,5.7,-16,-53,64,58474,-10,2193.94,2236.05,2223.67,2161.13
"Qualcomm, USA",USA,,,*,39,9578,Telecommunications equipment,FT Global 500,1510.93,7,47,110.5,23.4,30.7,1368,-41,-25,21.2,6450,-7,25,400.6,-11,-4,16100,5,32,93.8,2,13,94,37722,-21,1412.47,1132.58,952.38,626.05
"STMicroelectronics, The Netherlands",The Netherlands,,,,39,9576,Semiconductors,Listed,1375.32,8,27,,26.1,34.6,-890,,,-16.9,5270,-14,-12,102.2,-13,-12,51560,0,0,26.7,9,27,,4265,-1,1268.81,1105.33,998.82,962.29
"EMC, USA",USA,,,*,39,9572,Computer hardware,FT Global 500,1211.60,-4,21,138.1,14.0,16.9,877,-7,-5,10.1,8685,-6,15,201.0,-8,-9,43200,3,26,28.0,-7,-3,42,23855,26,1268.09,1094.02,910.15,725.70
"Huawei Technologies, China",China,,,,39,9578,Telecommunications equipment,Unlisted,1185.26,28,,63.4,8.8,8.8,1870,31,,13.8,13521,19,,142.3,,,95000,,,12.5,,,,,,927.74,,,
