Company,Company ID,Country,Country GDP $,Not IFRS,Industry group,ICB code,Industry description,Listing status,2009 R&D investment,1 Yr R&D investment growth%,4 Yr R&D investment growth%,R&D investment / operation profit%,R&D investment / sales%,R&D + capex / sales%,Operating profit,If made profit,1 Yr operating profit%,4 Yr operating profit%,Operating profit / sales%,Sales,1 Yr sales growth%,4 Yr sales growth%,Employees,1 Yr employees growth%,4 Yr employees growth%,R&D / employees ,1 Yr R&D / employees growth%,4 Yr R&D / employees growth%,Sales outside region%,Market cap,Market cap change%,If market cap increase,R&D spend 2008,R&D spend 2007,R&D spend 2006,R&D spend 2005
"ON Semiconductor, USA",70,USA,14617299295858.1,*,39,9576,Semiconductors,Listed,123.10,-15,42,144.2,11.2,14.4,85,Yes,,42,7.8,1095,-14,10,12887,-9,7,9.6,-7,36,,1698,-17,No,144.84,82.36,62.67,58.02
"Wacker-Chemie, Germany",903,Germany,3260114884059.16,,6,1357,Specialty chemicals,Listed,145.71,0,7,700.8,4.4,23.3,21,Yes,-96,-95,0.6,3305,-13,5,15719,-1,5,9.3,1,2,54,5159,29,Yes,145.00,135.50,135.32,130.52
"Nitto Denko, Japan",904,Japan,5470777391091.97,*,6,1357,Specialty chemicals,Listed,144.45,-2,7,326.2,3.8,14.4,44,Yes,-91,-91,1.2,3844,-22,-10,28640,-15,12,5.0,16,-8,10,3647,8,Yes,146.98,144.56,136.29,111.35
"Indra Sistemas, Spain",218,Spain,1418409880841.96,,37,9533,Computer services,Listed,155.50,5,39,61.1,7.0,8.0,254,Yes,7,46,11.4,2233,6,40,25271,3,56,6.2,2,-19,,1647,-30,No,147.79,137.70,85.69,76.32
"United Therapeutics, USA",413,USA,14617299295858.1,*,34,4573,Biotechnology,Listed,75.66,-49,17,461.2,33.0,58.8,16,Yes,,,7.2,229,31,93,410,14,40,184.5,-55,-8,,1743,16,Yes,148.11,51.61,35.65,22.33
"Expedia, USA",297,USA,14617299295858.1,*,41,5759,Travel & tourism,Listed,156.05,5,40,50.0,8.5,11.6,312,Yes,,,17.1,1830,1,19,7960,-1,13,19.6,6,26,,4172,6,Yes,148.62,130.66,86.92,80.81
"Umicore, Belgium",907,Belgium,467559394365.929,,6,1357,Specialty chemicals,Listed,120.57,-19,10,99.6,2.0,4.4,121,Yes,-44,-46,2.0,6177,-24,-20,9713,-3,-3,12.4,-17,12,,2597,29,Yes,148.95,110.68,91.25,87.96
"Atlas Copco, Sweden",649,Sweden,466459315772.176,,21,2757,Industrial machinery,FT Global 500,138.59,-7,8,17.6,2.5,5.3,788,Yes,-34,-25,14.2,5530,-14,1,31085,-9,9,4.5,2,-1,63,11662,33,Yes,149.00,131.48,124.54,109.37
"Takata, Japan",583,Japan,5470777391091.97,*,3,3355,Auto parts,Listed,124.93,-17,-13,,4.9,9.3,-46,No,-119,-118,-1.8,2564,-25,-22,28406,-19,-19,4.4,2,8,65,1010,-2,No,150.62,144.92,135.52,
"BHP Billiton, UK",877,UK,2427911661952.04,,27,1775,General mining,FT Global 500,96.60,-36,20,1.3,0.3,20.3,7506,Yes,-49,-26,24.1,31092,-16,27,40990,-2,15,2.4,-35,8,78,116013,12,Yes,151.09,104.65,47.06,20.44
"ITT, USA",795,USA,14617299295858.1,*,17,2727,Diversified industrials,Listed,159.82,6,35,28.6,2.4,4.9,558,Yes,-25,2,8.3,6752,-7,21,40200,-1,1,4.0,7,34,30,5055,-9,No,151.28,112.89,99.64,109.98
"Alcoa, USA",893,USA,14617299295858.1,*,22,1753,Aluminium,Listed,104.65,-31,-25,,0.9,9.5,-902,No,-295,-160,-7.8,11608,-33,-35,59000,-32,-47,1.8,1,37,,6729,-16,No,152.33,154.19,131.90,120.13
"Intesa Sanpaolo, Italy",246,Italy,2098071668645.46,,4,8355,Banks,FT Global 500,187.47,22,34,5.8,1.1,4.4,3230,Yes,561,6,19.7,16364,4,38,107164,-3,33,1.7,25,-5,,23476,-21,No,153.71,148.38,133.27,125.28
"Thermo Fisher Scientific, USA",453,USA,14617299295858.1,*,19,4535,Medical equipment,FT Global 500,152.39,-1,21,23.5,2.4,4.5,648,Yes,-15,54,10.4,6260,-4,52,35400,3,29,4.3,-4,-17,,11177,-2,No,154.25,147.81,105.38,94.60
"Mannkind, USA",409,USA,14617299295858.1,*,34,4573,Biotechnology,Listed,96.81,-38,-21,,,,-130,No,,,,0,-100,-100,443,-24,-18,218.5,-18,-1,,533,5,Yes,155.08,159.05,118.77,59.04
"McAfee, USA",165,USA,14617299295858.1,*,37,9537,Software,Listed,200.86,29,55,144.4,16.8,20.0,139,Yes,23,39,11.7,1193,20,53,6100,9,45,32.9,18,5,43,2817,-32,No,156.06,134.95,119.79,109.20
"Colgate-Palmolive, USA",484,USA,14617299295858.1,*,33,3767,Personal products,FT Global 500,166.57,6,9,7.4,1.8,5.5,2247,Yes,20,48,23.7,9491,0,16,38100,4,6,4.4,2,2,,22989,4,Yes,156.73,152.95,149.55,152.52
"Parker Hannifin, USA",644,USA,14617299295858.1,*,21,2757,Industrial machinery,Listed,178.44,13,51,36.3,2.8,5.4,491,Yes,-44,-29,7.7,6384,-15,2,51639,-16,-9,3.5,35,67,,6334,30,Yes,158.12,131.40,102.90,80.86
"Brocade Communications, USA",13,USA,14617299295858.1,*,39,9578,Telecommunications equipment,Listed,219.71,39,86,1691.6,18.2,26.5,13,Yes,19,-64,1.1,1209,33,94,4070,44,109,54.0,-3,-14,,1351,-32,No,158.26,132.09,102.08,81.08
"Agfa-Gevaert, Belgium",720,Belgium,467559394365.929,,9,2737,Electronic equipment,Listed,134.16,-16,-23,92.1,5.5,6.7,146,Yes,,183,6.0,2448,-9,-15,11508,-8,-16,11.7,-8,-8,,435,19,Yes,159.04,177.70,179.48,179.48
"China Railway Construction, China",851,China,1565186460764.05,,7,2357,Heavy construction,Listed,468.25,194,,63.1,1.5,5.9,742,Yes,91,,2.4,31291,57,,209103,10,,2.2,168,,,8571,-22,No,159.27,25.84,,
"Australia & New Zealand Banking, Australia",241,Australia,1122922429785.22,,4,8355,Banks,FT Global 500,228.89,44,129,9.4,3.1,8.8,2439,Yes,-3,-12,33.3,7321,11,25,37687,2,,6.1,41,,,31492,,No,159.28,112.50,75.18,53.46
"Exelixis, USA",359,USA,14617299295858.1,*,34,4577,Pharmaceuticals,Listed,145.34,-9,16,,154.7,158.5,-75,No,,,-80.3,94,29,50,676,0,4,215.0,-9,13,,194,-48,No,159.38,139.56,114.86,87.40
"Altera, USA",65,USA,14617299295858.1,*,39,9576,Semiconductors,Listed,161.13,1,6,85.4,21.8,22.7,189,Yes,-25,-6,25.5,740,-13,-5,2551,-8,-2,63.2,9,8,,4745,39,Yes,159.59,164.46,154.02,129.89
"United Microelectronics, Taiwan",67,Taiwan,392106000000,*,39,9576,Semiconductors,Listed,155.74,-3,-13,,8.8,28.1,-9,No,,,-0.5,1769,-6,-13,13051,5,-1,11.9,-7,-13,,3551,4,Yes,160.19,186.47,182.36,186.51
"IHI, Japan",645,Japan,5470777391091.97,*,21,2757,Industrial machinery,Listed,167.16,4,11,835800.0,1.8,1.8,0.5,Yes,,,0.0,9233,3,16,24348,3,6,6.9,2,5,18,1628,-4,No,160.44,155.83,143.70,141.07
"Atmel, USA",69,USA,14617299295858.1,*,39,9576,Semiconductors,Listed,131.31,-19,-23,,17.4,20.0,-77,No,,,-10.3,754,-22,-27,5600,-13,-25,23.4,-7,2,83,1643,49,Yes,161.19,168.46,179.03,171.29
"Mentor Graphics, USA",170,USA,14617299295858.1,*,37,9537,Software,Listed,158.24,-2,10,,31.8,37.6,-2,No,,-118,-0.3,497,2,4,4400,-2,3,36.0,0,7,,586,31,Yes,161.22,142.48,140.67,131.70
"Legrand, France",771,France,2592078593347.73,,9,2733,Electrical components & equipment,Listed,152.47,-6,-1,32.7,4.8,6.9,466,Yes,-18,-7,14.7,3179,-15,-7,29628,-15,-8,5.1,10,6,39,5217,29,Yes,162.51,156.29,156.02,144.29
"Avago Technologies, Singapore",68,Singapore,209393611470.456,*,39,9576,Semiconductors,Listed,151.71,-8,,510.4,16.5,20.4,30,Yes,-68,,3.2,919,-13,,3200,,,47.4,,,,2962,,No,164.10,126.94,,
"Taisho Pharmaceutical, Japan",354,Japan,5470777391091.97,*,34,4577,Pharmaceuticals,Listed,183.08,11,11,145.2,10.7,12.0,126,Yes,-47,-51,7.4,1704,3,-2,5409,2,3,33.8,10,8,,3649,3,Yes,164.60,189.71,153.47,154.46
"Kubota, Japan",792,Japan,5470777391091.97,*,17,2727,Diversified industrials,Listed,174.88,6,14,28.3,2.4,5.4,617,Yes,-28,-22,8.4,7367,-4,3,25140,3,7,7.0,3,7,35,6682,-1,No,164.86,152.49,151.20,146.09
"Heidelberger Druckmaschinen, Germany",655,Germany,3260114884059.16,,21,2757,Industrial machinery,Listed,107.29,-35,-44,,5.2,7.8,-141,No,,-220,-6.9,2049,-23,-34,17768,-9,-7,6.0,-29,-40,47,382,-5,No,165.26,196.95,210.57,190.08
"Yamaha, Japan",502,Japan,5470777391091.97,*,24,3745,Recreational products,Listed,154.44,-7,-3,,5.1,9.5,-67,No,-130,-130,-2.2,3055,-16,-15,26803,1,27,5.8,-8,-25,33,1357,-15,No,165.40,161.11,160.01,152.68
"Genmab, Denmark",406,Denmark,316081424057.807,,34,4573,Biotechnology,Listed,109.30,-36,14,,145.7,148.4,-89,No,,,-118.1,75,-16,67,505,-11,55,216.4,-28,-24,,312,-72,No,169.88,99.90,59.60,52.74
"L'Air Liquide, France",946,France,2592078593347.73,,6,1353,Commodity chemicals,FT Global 500,153.71,-10,5,8.7,1.4,13.0,1758,Yes,2,16,16.5,10641,-9,3,42300,-2,8,3.6,-8,-3,,18799,12,Yes,170.06,155.58,137.10,125.37
"Harris, USA",15,USA,14617299295858.1,*,39,9578,Telecommunications equipment,Listed,150.78,-11,17,125.5,4.3,6.1,120,Yes,-72,-63,3.5,3467,5,40,15400,-7,4,9.8,-5,13,,3523,29,Yes,170.29,145.27,116.29,85.02
"Sekisui Chemical, Japan",518,Japan,5470777391091.97,*,20,3728,Home construction,Listed,169.09,-1,6,160.4,2.7,5.5,105,Yes,-40,-53,1.7,6214,-3,3,19742,4,9,8.6,-5,-3,9,2111,3,Yes,171.21,162.65,153.50,152.82
"Toyoda Gosei, Japan",581,Japan,5470777391091.97,*,3,3355,Auto parts,Listed,165.21,-4,-1,237.3,4.5,4.5,70,Yes,-81,-66,1.9,3634,-18,0,25792,-5,18,6.4,0,-19,,1747,-27,No,172.88,161.79,168.37,162.98
"Beckman Coulter, USA",452,USA,14617299295858.1,*,19,4535,Medical equipment,Listed,164.96,-5,4,114.9,8.2,13.2,144,Yes,-23,-11,7.1,2019,5,20,11800,7,21,14.0,-11,-15,,1953,-32,No,173.45,169.67,164.04,129.36
"Goodrich, USA",839,USA,14617299295858.1,*,1,2713,Aerospace,Listed,148.00,-16,-20,26.4,3.6,6.1,560,Yes,-16,21,13.5,4140,-5,7,24000,-4,2,6.2,-12,-21,47,5572,32,Yes,175.86,173.39,222.92,165.27
"Danone, France",538,France,2592078593347.73,,14,3577,Food products,FT Global 500,183.03,4,39,10.0,1.4,5.4,1825,Yes,-15,2,13.7,13311,-2,5,80976,1,-3,2.3,3,42,,21907,5,Yes,175.92,126.17,111.95,111.06
"Rheinmetall, Germany",580,Germany,3260114884059.16,,3,3355,Auto parts,Listed,175.92,-1,13,1237.5,5.8,8.7,14,Yes,-93,-93,0.5,3039,-12,-9,20115,1,5,8.7,-2,7,29,1404,12,Yes,176.81,159.04,150.16,138.61
"Elan, Ireland",356,Ireland,218199392507.127,,34,4577,Pharmaceuticals,Listed,160.38,-10,11,,31.6,36.5,-45,No,,,-8.9,508,8,49,1484,-12,-14,108.1,2,29,,1778,-20,No,178.71,140.94,119.51,136.60
"BMC Software, USA",169,USA,14617299295858.1,*,37,9537,Software,Listed,174.31,-3,2,55.6,14.7,15.9,313,Yes,38,91,26.5,1183,2,14,6100,5,3,28.6,-7,-1,,3858,-3,No,179.14,174.13,163.60,166.76
"Cerner, USA",167,USA,14617299295858.1,*,37,9537,Software,Listed,176.60,-2,-1,98.9,17.1,24.9,179,Yes,7,48,17.2,1035,0,17,7600,1,3,23.2,-3,-4,,3886,22,Yes,180.43,175.30,190.67,169.36
"HTC, Taiwan",718,Taiwan,392106000000,*,9,2737,Electronic equipment,Listed,162.10,-10,82,34.2,5.8,7.1,474,Yes,-19,-1,16.9,2797,-5,29,8249,-12,,19.7,2,,79,9788,92,Yes,181.05,71.74,57.58,46.45
"Electrolux, Sweden",526,Sweden,466459315772.176,,20,3722,Durable household products,Listed,172.68,-5,-2,56.8,1.8,3.9,304,Yes,405,-5,3.2,9465,4,-5,50633,-8,-15,3.4,4,14,,3923,3,Yes,181.44,174.93,158.89,189.68
"ArcelorMittal, Luxembourg",883,Luxembourg,50743806608.9165,,22,1757,Iron & steel,FT Global 500,156.67,-14,57,,0.4,4.3,-1005,No,-112,-115,-2.5,40318,-48,-18,281703,-11,-4,0.6,-4,72,48,29238,-14,No,182.67,132.52,59.45,24.15
"Kimberly-Clark, USA",483,USA,14617299295858.1,*,33,3767,Personal products,FT Global 500,186.39,1,1,10.7,1.6,6.0,1749,Yes,11,15,14.8,11837,-2,9,56000,6,3,3.3,-4,-2,,16427,9,Yes,183.91,171.40,186.51,197.85
"Fresenius, Germany",450,Germany,3260114884059.16,*,19,4535,Medical equipment,Listed,213.24,16,36,11.7,1.7,6.2,1825,Yes,27,46,14.5,12585,15,34,127903,8,28,1.7,8,4,57,7306,48,Yes,183.92,163.48,148.38,132.39
"Calsonic Kansei, Japan",578,Japan,5470777391091.97,*,3,3355,Auto parts,Listed,183.45,-1,-1,,4.1,7.8,-143,No,-6500,-386,-3.2,4453,-20,-9,15155,2,-1,12.1,-3,0,33,481,14,Yes,185.81,191.09,190.06,172.91
"RWE, Germany",259,Germany,3260114884059.16,,16,7575,Multiutilities,FT Global 500,190.14,2,43,2.8,0.5,12.2,6717,Yes,14,27,16.2,41419,-5,5,68828,5,-4,2.8,-3,46,0,23506,-19,No,186.58,111.95,119.95,112.84
"Tellabs, USA",14,USA,14617299295858.1,*,39,9578,Telecommunications equipment,Listed,166.39,-12,-20,286.2,17.6,20.6,58,Yes,,,6.2,945,-12,-19,3295,2,-8,50.5,-14,-14,35,1611,-1,No,188.99,212.46,221.00,213.02
"National Semiconductor, USA",64,USA,14617299295858.1,*,39,9576,Semiconductors,Listed,168.87,-11,-20,84.3,19.2,22.3,200,Yes,77,-30,22.8,879,-3,-24,5800,0,-21,29.1,-11,0,,1903,-14,No,189.49,224.78,225.22,202.24
"Rio Tinto, UK",875,UK,2427911661952.04,,27,1775,General mining,FT Global 500,119.51,-37,88,2.9,0.5,12.4,4153,Yes,-21,-26,16.0,25899,-23,33,95608,-3,87,1.3,-35,40,87,72341,26,Yes,190.11,42.73,9.29,12.39
"Eni, Italy",988,Italy,2098071668645.46,,31,537,Integrated oil & gas,FT Global 500,183.92,-4,-2,1.7,0.2,15.0,11060,Yes,-35,-35,15.0,73947,-23,-6,78648,2,6,2.3,-6,-8,31,50755,-11,No,191.92,184.81,197.25,179.48
"Tesco, UK",321,UK,2427911661952.04,,13,5337,Food retailers & wholesalers,FT Global 500,111.00,-42,-21,3.6,0.2,5.3,3113,Yes,1,16,5.5,56910,5,24,472094,1,11,0.2,-43,-29,15,32185,11,Yes,192.00,128.00,129.00,115.00
"Mylan, USA",355,USA,14617299295858.1,*,34,4577,Pharmaceuticals,Listed,170.45,-13,53,50.5,5.4,8.4,338,Yes,145,,10.7,3154,-1,87,12500,4,50,13.6,-17,-6,49,3344,26,Yes,196.43,120.60,64.21,63.20
"Toppan Printing, Japan",309,Japan,5470777391091.97,*,26,5557,Publishing,Listed,191.52,-3,6,162.2,1.8,7.7,118,Yes,-76,-75,1.1,10758,-3,5,47522,23,32,4.0,-21,-20,0,3367,-20,No,197.78,193.79,183.54,148.04
"Vestas Wind Systems, Denmark",967,Denmark,316081424057.807,,2,583,Renewable energy equipment,Listed,212.35,7,87,27.8,3.6,12.7,765,Yes,29,192,13.0,5896,10,45,20832,16,56,10.2,-8,25,25,6652,-30,No,198.13,105.73,73.66,76.68
"Elpida Memory, Japan",768,Japan,5470777391091.97,*,9,2733,Electrical components & equipment,Listed,214.47,8,25,,9.7,33.8,-1181,No,,-1914,-53.6,2202,-18,-1,5863,69,103,36.6,-36,-38,36,1664,30,Yes,199.18,193.19,162.28,131.11
"NIDEC, Japan",770,Japan,5470777391091.97,*,9,2733,Electrical components & equipment,Listed,179.36,-10,-9,48.3,4.3,10.5,372,Yes,-26,-10,9.0,4132,-16,4,76574,-21,-9,2.3,13,-1,,7632,17,Yes,200.22,217.88,194.45,172.40
"Lam Research, USA",63,USA,14617299295858.1,*,39,9576,Semiconductors,Listed,178.51,-11,12,,25.8,29.8,-175,No,-156,-154,-25.3,691,-55,-45,2711,-29,-5,65.8,25,17,85,2951,29,Yes,200.48,176.70,141.74,120.20
"Kobe Steel, Japan",882,Japan,5470777391091.97,*,22,1757,Iron & steel,Listed,206.40,3,26,60.5,1.4,7.1,341,Yes,-71,-68,2.4,14483,2,22,33526,0,10,6.2,3,14,,4018,7,Yes,200.48,165.58,160.45,131.04
"Halliburton, USA",972,USA,14617299295858.1,*,32,573,Oil equipment & services,FT Global 500,201.25,0,11,16.6,2.2,14.9,1215,Yes,-50,-41,13.4,9087,-20,-26,51000,-11,-36,3.9,11,50,,15790,20,Yes,201.87,200.63,171.53,149.24
"Advantest, Japan",66,Japan,5470777391091.97,*,39,9576,Semiconductors,Listed,157.73,-22,-16,,30.9,37.3,-350,No,-344,-244,-68.6,510,-58,-66,3187,-13,-12,49.5,-11,-5,19,2534,-20,No,202.93,196.29,179.11,174.81
"OC Oerlikon, Switzerland",802,Switzerland,566764598976.798,,17,2727,Diversified industrials,Listed,125.80,-38,-10,,7.1,10.4,-357,No,,-601,-20.1,1776,-40,-19,16369,-14,1,7.7,-28,-19,,807,45,Yes,203.08,168.33,97.05,88.66
"Citrix Systems, USA",166,USA,14617299295858.1,*,37,9537,Software,Listed,200.31,-2,53,184.3,20.0,24.8,109,Yes,2,-10,10.9,999,2,29,4816,-4,16,41.6,3,37,,6571,63,Yes,203.80,143.29,107.77,67.30
"KT, South Korea",289,South Korea,1027729851625.48,*,12,6535,Fixed line telecommunications,Listed,214.53,5,7,44.1,2.1,16.2,487,Yes,-51,-56,4.7,10449,0,7,30841,-12,-16,7.0,20,28,,5742,11,Yes,203.82,215.32,184.06,195.88
"Philip Morris International, USA",477,USA,14617299295858.1,*,40,3785,Tobacco,FT Global 500,207.44,0,,3.3,1.3,4.2,6223,Yes,-2,,40.1,15503,-3,,77300,2,,2.7,-2,,164,59007,6,Yes,206.82,,,
"Fuji Electric, Japan",769,Japan,5470777391091.97,*,9,2733,Electrical components & equipment,Listed,202.18,-3,1,,4.0,9.0,-292,No,-234,-244,-5.7,5100,-17,-14,22799,-11,-10,8.9,9,12,3,1162,33,Yes,207.94,216.54,193.04,181.09
"Toyota Boshoku, Japan",577,Japan,5470777391091.97,*,3,3355,Auto parts,Listed,192.69,-9,18,184.0,3.0,9.1,105,Yes,-77,-64,1.6,6517,-21,7,27078,1,12,7.1,-9,-6,,1758,-20,No,210.98,175.63,165.16,101.35
"Covidien, Ireland",448,Ireland,218199392507.127,*,19,4535,Medical equipment,FT Global 500,271.22,28,,21.9,4.1,8.0,1239,Yes,-11,,18.7,6612,-1,,41800,0,,6.5,28,,,11982,-1,No,211.16,,,
"PACCAR, USA",698,USA,14617299295858.1,*,21,2753,Commercial vehicles & trucks,Listed,123.35,-42,-8,130.5,2.5,14.5,95,Yes,-89,-91,1.9,5007,-46,-46,15200,-19,-27,8.1,-28,23,,9497,20,Yes,211.65,158.21,93.26,72.95
"Sandvik, Sweden",643,Sweden,466459315772.176,,21,2757,Industrial machinery,FT Global 500,209.28,-1,20,,3.4,9.2,-117,No,-111,-111,-1.9,6239,-22,-9,47191,-3,9,4.4,2,11,,8971,24,Yes,212.14,193.58,157.67,133.48
"BAE Systems, UK",823,UK,2427911661952.04,,1,2717,Defence,FT Global 500,234.00,10,27,26.1,1.1,3.5,897,Yes,-38,-18,4.4,20374,22,50,94000,4,15,2.5,5,14,74,10531,-9,No,213.00,176.00,162.00,
"Daikin Industries, Japan",864,Japan,5470777391091.97,*,7,2353,Building materials & fixtures,Listed,203.11,-5,11,54.8,2.5,7.6,370,Yes,-56,-35,4.6,7998,-7,29,39896,10,44,5.1,-13,-27,35,6400,-6,No,213.36,180.96,177.26,163.52
"Ajinomoto, Japan",537,Japan,5470777391091.97,*,14,3577,Food products,Listed,224.60,3,9,194.3,2.8,7.6,116,Yes,-68,-70,1.5,7918,-2,5,26869,4,5,8.4,-1,4,17,4218,1,Yes,218.67,211.28,203.11,189.12
"Rohm, Japan",59,Japan,5470777391091.97,*,39,9576,Semiconductors,Listed,268.00,22,21,,12.7,29.7,-222,No,-153,-151,-10.5,2110,-15,-17,22034,7,9,12.2,14,11,8,4246,-13,No,219.92,225.44,224.79,215.14
"Xilinx, USA",62,USA,14617299295858.1,*,39,9576,Semiconductors,Listed,211.20,-4,-4,86.1,20.2,21.7,245,Yes,7,3,23.4,1048,-7,-6,2948,-6,-11,71.6,2,7,,4013,9,Yes,220.07,221.73,240.33,201.95
"Cephalon, USA",352,USA,14617299295858.1,*,34,4577,Pharmaceuticals,Listed,244.86,9,6,115.0,18.0,20.8,213,Yes,71,935,15.7,1358,11,30,3026,9,6,80.9,0,0,18,2716,6,Yes,224.29,228.57,249.78,219.72
"Actelion, Switzerland",350,Switzerland,566764598976.798,*,34,4577,Pharmaceuticals,Listed,278.04,24,77,136.8,26.2,33.6,203,Yes,-9,45,19.1,1062,20,61,2260,19,,123.0,4,,56,3448,-19,No,224.36,175.01,126.89,102.72
"Oce, The Netherlands (now part of Canon, Japan)",121,The Netherlands,835338475725.744,,39,9574,Electronic office equipment,Listed,193.98,-14,-1,,8.2,13.5,-17,No,-156,-120,-0.7,2352,-9,-10,21635,-7,-9,9.0,-8,8,44,414,59,Yes,226.54,183.90,179.14,195.63
"Goodyear, USA",560,USA,14617299295858.1,*,3,3357,Tyres,Listed,208.68,-8,-8,,2.1,6.6,-16,No,-106,-104,-0.2,10094,-16,-19,69000,-8,-9,3.0,0,1,,1501,-44,No,226.64,230.36,222.31,226.02
"Brother Industries, Japan",133,Japan,5470777391091.97,*,39,9572,Computer hardware,Listed,245.18,8,34,327.4,7.6,12.0,75,Yes,-77,-74,2.3,3208,-15,-10,22668,-5,2,10.8,13,33,68,1884,9,Yes,226.94,189.27,167.95,146.28
"Autoliv, USA",576,USA,14617299295858.1,*,3,3355,Auto parts,Listed,199.64,-12,-17,475.5,6.3,9.0,42,Yes,-78,-85,1.3,3171,-21,-20,37900,11,0,5.3,-21,-17,51,2897,65,Yes,227.38,245.03,246.21,238.90
"Stryker, USA",451,USA,14617299295858.1,*,19,4535,Medical equipment,FT Global 500,208.19,-9,0,21.1,5.0,7.0,986,Yes,5,30,23.7,4163,0,17,18582,6,7,11.2,-13,-7,36,11447,16,Yes,227.75,232.40,201.00,173.26
"Thomson (now Technicolor), France",721,France,2592078593347.73,,9,2737,Electronic equipment,Listed,131.50,-42,-50,314.9,3.6,6.1,42,Yes,,,1.1,3641,-16,-34,20818,-9,-24,6.3,-37,-35,,498,114,Yes,228.34,280.76,294.09,244.34
"Mitsubishi Motors, Japan",619,Japan,5470777391091.97,*,3,3353,Automobiles,Listed,238.19,4,-30,,1.8,6.4,-254,No,-154,-398,-1.9,13128,-26,-14,31905,-4,-8,7.5,8,-23,44,4470,-26,No,230.06,274.89,401.40,457.48
"Onex, Canada",793,Canada,1565186460764.05,*,17,2727,Diversified industrials,Listed,164.21,-29,-11,70.6,1.1,3.6,233,Yes,,-27,1.6,14667,-8,14,210000,-10,8,0.8,-21,-18,,1970,21,Yes,232.13,186.06,233.91,86.83
"Vertex Pharmaceuticals, USA",401,USA,14617299295858.1,*,34,4573,Biotechnology,Listed,295.19,26,82,,467.9,490.9,-380,No,,,-602.6,63,-42,-46,1432,7,35,206.1,17,42,,4545,18,Yes,234.24,224.17,121.72,67.03
"Navistar International, USA",694,USA,14617299295858.1,*,21,2753,Commercial vehicles & trucks,Listed,268.13,14,6,75.4,3.7,5.0,355,Yes,-15,-3,5.0,7164,-21,-13,17900,1,0,15.0,13,7,,2002,4,Yes,235.31,236.55,280.51,255.74
"Dai Nippon Printing, Japan",308,Japan,5470777391091.97,*,26,5557,Publishing,Listed,226.91,-4,13,,2.2,8.2,-146,No,-127,-122,-1.4,10542,-2,4,40317,4,10,5.6,-8,3,0,5159,-17,No,236.51,200.31,190.85,175.52
"PepsiCo, USA",553,USA,14617299295858.1,*,5,3537,Soft drinks,FT Global 500,256.36,7,15,4.9,1.0,5.9,5207,Yes,15,23,19.5,26771,0,15,203000,3,11,1.3,4,2,,64587,18,Yes,240.26,225.40,213.02,210.54
"Statoil, Norway",987,Norway,425768848675.368,,31,537,Integrated oil & gas,FT Global 500,222.22,-8,20,1.7,0.4,19.0,13039,Yes,-38,-18,26.3,49556,-29,-11,28739,3,4,7.7,-10,16,,39030,-9,No,240.44,211.07,173.23,114.27
"Kawasaki Heavy Industries, Japan",790,Japan,5470777391091.97,*,17,2727,Diversified industrials,Listed,254.47,6,39,388.3,2.9,7.9,66,Yes,-86,-78,0.7,8904,-11,-3,32266,6,10,7.9,0,27,32,2599,-8,No,240.98,224.96,179.87,87.69
"Teijin, Japan",945,Japan,5470777391091.97,*,6,1353,Commodity chemicals,Listed,250.31,4,14,,4.0,12.0,-162,No,-248,-154,-2.6,6275,-9,-3,19453,2,2,12.9,2,11,,1938,-10,No,241.34,233.46,207.51,199.71
"Accenture, Ireland",634,Ireland,218199392507.127,*,38,2791,Business support services,FT Global 500,269.33,11,40,16.5,1.9,2.9,1635,Yes,-12,11,11.4,14348,-8,13,177000,-5,14,1.5,17,23,,17376,26,Yes,241.61,190.33,184.75,150.75
"Dassault Aviation, France",838,France,2592078593347.73,,1,2713,Aerospace,Listed,214.87,-11,-12,73.9,7.1,10.2,291,Yes,-25,-23,9.6,3040,-9,-6,12215,-1,0,17.6,-10,-13,,4845,30,Yes,242.32,235.48,250.94,252.83
"AvtoVAZ, Russia",628,Russia,1459251165973.01,,3,3353,Automobiles,Listed,50.93,-79,-37,,2.4,7.5,-987,No,,-12490,-46.8,2109,-46,-43,103852,-21,-26,0.5,-74,-19,,418,30,Yes,244.04,26.33,27.58,23.98
"Toyota Industries, Japan",620,Japan,5470777391091.97,*,3,3353,Automobiles,Listed,223.81,-8,2,,2.1,9.9,-335,No,-149,-164,-3.2,10538,-21,-4,39916,1,14,5.6,-9,-11,31,5304,-4,No,244.45,229.81,207.31,199.89
"Rockwell Collins, USA",837,USA,14617299295858.1,*,1,2713,Aerospace,Listed,219.83,-10,12,40.3,7.9,11.4,545,Yes,-9,15,19.7,2768,-6,8,19300,-5,2,11.4,-5,11,27,5398,26,Yes,244.60,214.87,172.77,150.47
"Harman International Industries, USA",512,USA,14617299295858.1,*,24,3743,Consumer electronics,Listed,205.40,-16,4,,11.5,14.2,-318,No,-485,-264,-17.7,1790,-30,-17,9482,-19,-17,21.7,3,25,80,1275,12,Yes,245.15,220.88,187.01,137.84
"Becton Dickinson, USA",437,USA,14617299295858.1,*,19,4537,Medical supplies,FT Global 500,252.73,3,18,24.2,5.7,13.8,1043,Yes,8,37,23.3,4469,1,16,29116,3,7,8.7,0,10,,10201,4,Yes,245.36,222.96,222.93,168.20
